GOE 140 (MVA H,17) - Re = 1352000
Alfa	Cl	Cd	Cl/Cd	Cm
-1.5	0.3695	0.0117	31.5812	-0.0968
-1.0	0.4284	0.0103	41.5922	-0.0972
-0.5	0.4867	0.0098	49.6633	-0.0975
0.0	0.5449	0.0095	57.3579	-0.0977
0.5	0.6035	0.0090	67.0556	-0.0982
1.0	0.6619	0.0088	75.2159	-0.0986
1.5	0.7199	0.0089	80.8876	-0.0989
2.0	0.7778	0.0089	87.3933	-0.0991
2.5	0.8355	0.0090	92.8333	-0.0994
3.0	0.8928	0.0092	97.0435	-0.0996
3.5	0.9499	0.0093	102.1398	-0.0998
4.0	1.0022	0.0080	125.2750	-0.0996
4.5	1.0586	0.0083	127.5422	-0.0997
5.0	1.1147	0.0087	128.1264	-0.0997
5.5	1.1693	0.0092	127.0978	-0.0996
6.5	1.2571	0.0132	95.2348	-0.0966
7.0	1.3073	0.0141	92.7163	-0.0957
7.5	1.3573	0.0149	91.0940	-0.0948
8.0	1.4021	0.0163	86.0184	-0.0932
8.5	1.4484	0.0173	83.7225	-0.0918
9.0	1.4903	0.0186	80.1237	-0.0898
9.5	1.5210	0.0206	73.8350	-0.0862
10.0	1.5426	0.0228	67.6579	-0.0814
10.5	1.5556	0.0249	62.4739	-0.0754
11.0	1.5630	0.0279	56.0215	-0.0704
11.5	1.5635	0.0324	48.2562	-0.0672
12.0	1.5622	0.0381	41.0026	-0.0660
12.5	1.5543	0.0454	34.2357	-0.0662
13.0	1.5374	0.0543	28.3131	-0.0672

