GOE 417 - Re = 1352000
Alfa	Cl	Cd	Cl/Cd	Cm
-2.0	0.4304	0.0148	29.0811	-0.1277
-1.5	0.4843	0.0142	34.1056	-0.1266
-1.0	0.5353	0.0108	49.5648	-0.1257
-0.5	0.5863	0.0101	58.0495	-0.1246
0.0	0.6393	0.0104	61.4712	-0.1237
0.5	0.6908	0.0090	76.7556	-0.1227
1.0	0.7422	0.0088	84.3409	-0.1214
1.5	0.7923	0.0087	91.0690	-0.1201
2.0	0.8439	0.0087	97.0000	-0.1191
2.5	0.8967	0.0087	103.0690	-0.1183
3.0	0.9497	0.0088	107.9205	-0.1176
3.5	1.0028	0.0090	111.4222	-0.1169
4.0	1.0559	0.0091	116.0330	-0.1162
4.5	1.1101	0.0080	138.7625	-0.1164
5.0	1.1619	0.0084	138.3214	-0.1155
5.5	1.2126	0.0088	137.7955	-0.1145
6.0	1.2598	0.0096	131.2292	-0.1129
6.5	1.3042	0.0105	124.2095	-0.1110
7.0	1.3512	0.0113	119.5752	-0.1094
7.5	1.3856	0.0131	105.7710	-0.1059
8.0	1.4232	0.0146	97.4795	-0.1027
8.5	1.4643	0.0157	93.2675	-0.1002
9.0	1.5041	0.0167	90.0659	-0.0974
9.5	1.5355	0.0183	83.9071	-0.0934
10.0	1.5643	0.0195	80.2205	-0.0888
10.5	1.5879	0.0210	75.6143	-0.0836
11.0	1.6020	0.0231	69.3506	-0.0777
11.5	1.5969	0.0266	60.0338	-0.0701
12.0	1.6061	0.0295	54.4441	-0.0654
12.5	1.6043	0.0336	47.7470	-0.0608
13.0	1.5987	0.0388	41.2036	-0.0574

