Airfoil name : GOE 140 (MVA H,17)

Upper  X 	 Upper Y 
 0.00000	0.00000
 1.23500	1.76100
 2.47400	2.99200
 4.95900	4.69300
 7.44900	5.90500
 9.94100	6.82600
 14.92700	8.39000
 19.92000	9.24300
 29.91600	9.68000
 39.92000	9.23700
 49.92700	8.34400
 59.93800	7.11100
 69.95100	5.64900
 79.96500	3.98600
 89.98001	2.24300
 94.98900	1.29600
 100.00000	0.29000

 Lower X 	Lower Y
 0.00000	0.00000
 1.25900	-1.08900
 2.51000	-1.13800
 5.00800	-0.86600
 7.50300	-0.39500
 10.00100	-0.07300
 14.99600	0.42000
 19.99400	0.64400
 29.99200	0.90100
 39.99100	1.04800
 49.99100	1.02500
 59.99100	0.99200
 69.99300	0.84900
 79.99500	0.53600
 89.99800	0.20300
 95.00000	-0.04300
 100.00000	-0.29000
