Airfoil name : GOE 342

Upper  X 	 Upper Y 
 0.00000	0.00000
 1.25000	2.01000
 2.50000	2.92000
 5.00000	4.14000
 7.50000	5.06000
 10.00000	5.78000
 15.00000	7.02000
 20.00000	7.86000
 30.00000	8.54000
 40.00000	8.72000
 50.00000	8.50000
 60.00000	7.78000
 70.00000	6.36000
 80.00000	4.64000
 90.00000	2.62000
 100.00000	0.30000

 Lower X 	Lower Y
 0.00000	0.00000
 1.25000	-0.79000
 2.50000	-0.58000
 5.00000	0.04000
 7.50000	0.46000
 10.00000	0.98000
 15.00000	1.77000
 20.00000	2.46000
 30.00000	3.34000
 40.00000	3.72000
 50.00000	3.75000
 60.00000	3.58000
 70.00000	3.06000
 80.00000	2.24000
 90.00000	1.22000
 100.00000	0.00000
