Airfoil name : BE6308B

Upper  X 	 Upper Y 
 0.00000	0.70000
 1.25000	2.42000
 2.50000	3.62000
 5.00000	5.38000
 7.50000	6.85000
 10.00000	8.12000
 15.00000	9.83000
 20.00000	10.80000
 25.00000	11.22000
 30.00000	11.25000
 40.00000	10.73000
 50.00000	9.63000
 60.00000	8.14000
 70.00000	6.38000
 80.00000	4.44000
 90.00000	2.39000
 100.00000	0.28000

 Lower X 	Lower Y
 0.00000	0.70000
 1.25000	0.06000
 2.50000	0.32000
 5.00000	0.97000
 7.50000	1.70000
 10.00000	2.43000
 15.00000	3.73000
 20.00000	4.68000
 25.00000	5.19000
 30.00000	5.35000
 40.00000	5.42000
 50.00000	5.12000
 60.00000	4.50000
 70.00000	3.70000
 80.00000	2.62000
 90.00000	1.23000
 100.00000	0.00000
