0.0000	 0.7000
2.5641	 0.0128
5.1282	 0.5205
7.6923	 0.9308
10.2564	 1.3333
12.8205	 1.6667
15.3846	 2.0000
17.9487	 2.3333
20.5128	 2.6308
23.0769	 2.7846
25.6410	 2.9385
28.2051	 3.0923
30.7692	 3.2154
33.3333	 3.2667
35.8974	 3.3179
38.4615	 3.3692
41.0256	 3.3897
43.5897	 3.3641
46.1538	 3.3385
48.7179	 3.3128
51.2821	 3.2487
53.8462	 3.1462
56.4103	 3.0436
58.9744	 2.9410
61.5385	 2.8231
64.1026	 2.6949
66.6667	 2.5667
69.2308	 2.4385
71.7949	 2.2923
74.3590	 2.1385
76.9231	 1.9846
79.4872	 1.8308
82.0513	 1.6359
84.6154	 1.4308
87.1795	 1.2256
89.7436	 1.0205
92.3077	 0.7692
94.8718	 0.5128
97.4359	 0.2564
100.0000	 0.0000
