Airfoil name : GOE 626

Upper  X 	 Upper Y 
 0.00000	0.00000
 1.06300	2.77200
 2.21000	4.29900
 4.59100	6.06000
 6.99900	7.42200
 9.42400	8.53600
 14.32400	10.01700
 19.25100	11.09900
 29.18600	12.07000
 39.19700	11.89600
 49.25600	11.02500
 59.35200	9.60600
 69.46400	7.93900
 79.61400	5.72400
 89.79000	3.11100
 94.88800	1.65500
 100.00000	0.00000

 Lower X 	Lower Y
 0.00000	0.00000
 1.40300	-2.25500
 2.70100	-2.96800
 5.27300	-4.04400
 7.81600	-4.67200
 10.34500	-5.10200
 15.37300	-5.51200
 20.36300	-5.37500
 30.25700	-3.80800
 40.14500	-2.14000
 50.05200	-0.77100
 59.98700	0.19900
 69.94800	0.77100
 79.93600	0.94600
 89.95500	0.67200
 94.97200	0.41100
 100.00000	0.00000
